taxa	FG95195
98-13025	1.625
98-13042	0
98-13050	2.125
98-13063	0.125
98-13066	0
98-13082	1.25
98-13091	2.375
AR1-1	0.625
AR2-1	0.875
AR3-1	2
AR4-1	1.875
AR5-1	3.75
AR6-1	0.75
BBC03Sn-1	1.375
BBC03Sn3	1.375
BBC03Sn5	2
BBC04Sn-1	2
BBC04Sn-2	2.375
BBC04-Sn-5	2
BBC04Sn6	0.625
FgoG10Sn-1	0.75
FgoN10Sn-2	2.125
FgoN10Sn3	2.25
FGON10-Sn-4	2.5
GA9-1	0.75
GA9-2	2.625
GA9-3	0.875
GA9-4	0.125
GA9-5	2
LDN03Sn-1	0.875
LDN03Sn10	0.875
LDN03-Sn-11	0.125
LDN03Sn2	0.875
LDN03Sn3	2
LDN03Sn4	1.875
LDN03Sn-5	2.125
LDN03Sn-6	1.75
LDN03-Sn-7	0
LDN03-Sn-8	2.375
LDN03-Sn-9	2
LDN05-Sn-2	0.75
LDN05-Sn-4	2.375
LDN05-Sn-5	0.625
LDN07-Sn-1	1
LDN07-Sn-2	0.5
LDN07-Sn-3	2.125
LDN07-Sn-4	0
LDN07-Sn-5	1.75
LDN08-Sn-1	1.875
LDN08-Sn-2	0.875
LDN08-Sn-3	0.625
LDN08-Sn-4	1.5
LDN08-Sn-5	1.75
MD4-1	0.5
MD4-2	0.375
MD4-3	0.875
MN-2	1.75
MN-3	1.625
MN-4	1.625
MN-5	1.375
MN-6	1.625
MN-7	2.125
MN-8	2.25
NC7-1	0.25
NC8-11	0.25
NC8-3	2.25
NC8-4	1.125
NC8-6	2.375
NC8-7	0.25
NC8-8	0.75
NC9-12	0.875
NC9-5	0.5
NDJ16-Sn-1	1.5
NDJ16-Sn-10	2.125
NDJ16-Sn-11	1.125
NDJ16-Sn-12	2.25
NDJ16-Sn-13	2
NDJ16-Sn-14	1.5
NDJ16-Sn-15	0.75
NDJ16-Sn-16	2.125
NDJ16-Sn-17	0.75
NDJ16-Sn-18	1
NDJ16-Sn-19	2.25
NDJ16-Sn-2	2.125
NDJ16-Sn-20	0.875
NDJ16-Sn-21	0.75
NDJ16-Sn-22	0.875
NDJ16-Sn-23	2.125
NDJ16-Sn-24	2.125
NDJ16-Sn-25	1.75
NDJ16-Sn-3	2.5
NDJ16-Sn-4	0.166666667
NDJ16-Sn-5	1.25
NDJ16-Sn-6	0.875
NDJ16-Sn-7	0.5
NDJ16-Sn-8	1.375
NDJ16-Sn-9	1.375
NDM16-Sn-1	0
NDM16-Sn-10	0.375
NDM16-Sn-2	0
NDM16-Sn-3	0.25
NDM16-Sn-4	1.5
NDM16-Sn-5	0.25
NDM16-Sn-6	0
NDM16-Sn-7	1.125
NDM16-Sn-8	1.875
NDM16-Sn-9	1.875
NDP16-Sn-1	2.25
NDP16-Sn-10	0.166666667
NDP16-Sn-11	0
NDP16-Sn-12	0.125
NDP16-Sn-2	1
NDP16-Sn-3	0.75
NDP16-Sn-4	0.25
NDP16-Sn-5	0
NDP16-Sn-6	2.125
NDP16-Sn-7	0.125
OH03Sn1051	2.25
OH03Sn1180	2.5
OH03Sn123	1.125
OH03Sn1354	2.375
OH03Sn14	1.125
OH03Sn1501	2.75
OH03Sn1553	3.125
OH03Sn-39	3
OH03Sn601	3.5
OH03Sn61	2.5
OH03Sn65	1.125
OH03Sn69	3
OH03Sn8	2.25
OH03Sn801	2.25
OH03Sn84	2
OH03Sn850	3.125
OKG16-Sn-1	0.875
OKG16-Sn-10	0.375
OKG16-Sn-11	1.25
OKG16-Sn-12	3
OKG16-Sn-13	0.875
OKG16-Sn-14	0.75
OKG16-Sn-15	2.5
OKG16-Sn-16	1.875
OKG16-Sn-17	1.625
OKG16-Sn-2	2.125
OKG16-Sn-3	2.625
OKG16-Sn-4	2.125
OKG16-Sn-5	2.25
OKG16-Sn-6	1.75
OKG16-Sn-7	2
OKG16-Sn-8	3.125
OKG16-Sn-9	2.625
SC3-1	3.875
SC3-2	2.875
SC3-3	3.625
SC3-4	1.125
SDRF16-Sn-1	1.5
SDRF16-Sn-2	1.75
SDRF16-Sn-4	2.25
SDRF16-Sn-5	2.625
SDRF16-Sn-6	2
SDRF16-Sn-7	1.125
SDRF16-Sn-8	1.25
SDRF16-Sn-9	1.625
Sn2000	0.25
SN330NY91	2.25
SN335NY91	3
SN345NY91	3.75
SN349NY91	1
SN351NY91	0.75
SN356NY91	0.25
SN358NY91	0.875
SN366NY91	2.75
SN369NY91	2.125
SN377NY91	3.375
Sn50	1.875
Sn6	1.5
SnOre11-1	0.875
SnOre11-2	0.625
SnOre11-3	0.625
SnOre11-4	0.75
SnOre11-5	0.5
SnOre11-6	0.875
SnOre11-7	0.375
SnOre11-8	0.625
SNOV92XD1.3	1.125
SNOV92XD4	2.25
SNOV92XF1	1.375
SNOV92XF2	0.625
SNOV92XH1	3.5
TN5-1	3.25
TN5-2	1.125
TN5-3	1.125
TN5-4	2.125
TN5-5	2
VA5-2	2.625
VA5-3	0.75
VA5-4	0.875
VA5-5	2.25
