taxa	TAM105
98-13025	2.625
98-13042	3.5
98-13050	3
98-13063	2.25
98-13066	3.5
98-13082	3.875
98-13091	4.125
AR1-1	1.5
AR2-1	1.75
AR3-1	1.75
AR4-1	1.75
AR5-1	1.625
AR6-1	1.375
BBC03Sn-1	3.375
BBC03Sn3	3.125
BBC03Sn5	3.625
BBC04Sn-1	3.5
BBC04Sn-2	3.25
BBC04-Sn-5	2.625
BBC04Sn6	3.375
FgoG10Sn-1	2.75
FgoN10Sn-2	4
FgoN10Sn3	3.625
FGON10-Sn-4	3.375
GA9-1	1.5
GA9-2	2.375
GA9-3	1.875
GA9-4	1.125
GA9-5	1.5
LDN03Sn-1	3.25
LDN03Sn10	3.25
LDN03-Sn-11	3.875
LDN03Sn2	3.25
LDN03Sn3	3.375
LDN03Sn4	3
LDN03Sn-5	3.875
LDN03Sn-6	3.25
LDN03-Sn-7	3.875
LDN03-Sn-8	3.125
LDN03-Sn-9	3.375
LDN05-Sn-2	3.875
LDN05-Sn-4	3.125
LDN05-Sn-5	3.5
LDN07-Sn-1	3.5
LDN07-Sn-2	3.5
LDN07-Sn-3	3.25
LDN07-Sn-4	2.25
LDN07-Sn-5	3.875
LDN08-Sn-1	3.625
LDN08-Sn-2	3.375
LDN08-Sn-3	2.75
LDN08-Sn-4	3.25
LDN08-Sn-5	3.125
MD4-1	1.5
MD4-2	1.5
MD4-3	1.625
MN-2	3.625
MN-3	3.625
MN-4	2.875
MN-5	3.375
MN-6	3.375
MN-7	3.375
MN-8	3.75
NC7-1	1.25
NC8-11	1.625
NC8-3	1.875
NC8-4	2.5
NC8-6	2
NC8-7	1.625
NC8-8	1.625
NC9-12	2.125
NC9-5	2.125
NDJ16-Sn-1	3.5
NDJ16-Sn-10	3.5
NDJ16-Sn-11	3.875
NDJ16-Sn-12	2.75
NDJ16-Sn-13	2.25
NDJ16-Sn-14	2.625
NDJ16-Sn-15	3
NDJ16-Sn-16	3.875
NDJ16-Sn-17	3.125
NDJ16-Sn-18	3
NDJ16-Sn-19	2.875
NDJ16-Sn-2	3.625
NDJ16-Sn-20	3.375
NDJ16-Sn-21	3.625
NDJ16-Sn-22	3.625
NDJ16-Sn-23	2.875
NDJ16-Sn-24	3.625
NDJ16-Sn-25	3.125
NDJ16-Sn-3	4.125
NDJ16-Sn-4	3
NDJ16-Sn-5	3.25
NDJ16-Sn-6	3.875
NDJ16-Sn-7	3.375
NDJ16-Sn-8	3.75
NDJ16-Sn-9	3
NDM16-Sn-1	3.625
NDM16-Sn-10	3.5
NDM16-Sn-2	3.125
NDM16-Sn-3	2.375
NDM16-Sn-4	2.75
NDM16-Sn-5	3.5
NDM16-Sn-6	2.625
NDM16-Sn-7	2.75
NDM16-Sn-8	3.5
NDM16-Sn-9	2.75
NDP16-Sn-1	1.875
NDP16-Sn-10	1.125
NDP16-Sn-11	2.375
NDP16-Sn-12	3.5
NDP16-Sn-2	3
NDP16-Sn-3	3.5
NDP16-Sn-4	3.125
NDP16-Sn-5	0.125
NDP16-Sn-6	1.25
NDP16-Sn-7	4
OH03Sn1051	1.875
OH03Sn1180	2.25
OH03Sn123	2
OH03Sn1354	2.125
OH03Sn14	2.125
OH03Sn1501	2.25
OH03Sn1553	2.125
OH03Sn-39	1.75
OH03Sn601	2.125
OH03Sn61	2
OH03Sn65	2.125
OH03Sn69	2.125
OH03Sn8	1.875
OH03Sn801	2
OH03Sn84	1.75
OH03Sn850	1.75
OKG16-Sn-1	3.25
OKG16-Sn-10	3.625
OKG16-Sn-11	3.625
OKG16-Sn-12	3.75
OKG16-Sn-13	3.25
OKG16-Sn-14	3.375
OKG16-Sn-15	3.875
OKG16-Sn-16	3.125
OKG16-Sn-17	3.875
OKG16-Sn-2	3.5
OKG16-Sn-3	3.875
OKG16-Sn-4	3.75
OKG16-Sn-5	3.25
OKG16-Sn-6	3.25
OKG16-Sn-7	4.125
OKG16-Sn-8	4
OKG16-Sn-9	3.875
SC3-1	2.375
SC3-2	2.5
SC3-3	2.5
SC3-4	2.375
SDRF16-Sn-1	3.25
SDRF16-Sn-2	3.25
SDRF16-Sn-4	4
SDRF16-Sn-5	3.875
SDRF16-Sn-6	3.625
SDRF16-Sn-7	2.625
SDRF16-Sn-8	3.5
SDRF16-Sn-9	2.375
Sn2000	4
SN330NY91	2.125
SN335NY91	1.5
SN345NY91	2
SN349NY91	2.125
SN351NY91	1.75
SN356NY91	1.25
SN358NY91	1.75
SN366NY91	2.375
SN369NY91	2.125
SN377NY91	2.125
Sn50	3.375
Sn6	2.25
SnOre11-1	1.875
SnOre11-2	1.375
SnOre11-3	1.625
SnOre11-4	1.75
SnOre11-5	1.5
SnOre11-6	1.125
SnOre11-7	1.75
SnOre11-8	1.875
SNOV92XD1.3	1.75
SNOV92XD4	2.5
SNOV92XF1	2.375
SNOV92XF2	2.5
SNOV92XH1	1.875
TN5-1	2
TN5-2	2.25
TN5-3	1.625
TN5-4	2.125
TN5-5	1.5
VA5-2	2.125
VA5-3	1.875
VA5-4	2.25
VA5-5	1.875
